ESCOURI,ID,UUID,ORIGINUUID,SKILLTYPE,REUSELEVEL,PREFERREDLABEL,ALTLABELS,DESCRIPTION,DEFINITION,SCOPENOTE
http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,key_19433,,,skill/competence,sector-specific,lead police investigations,"supervise police investigations
manage police enquiries
supervise police enquiries
oversee police investigations
manage police investigations
lead police investigations
oversee police enquiries","Lead investigations in police cases, which involves establishing an investigation strategy, contacting experts, being able to use different methods and points of view, and leading investigative staff.",,
http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,key_19434,,,skill/competence,sector-specific,handle fish harvesting waste,"dispose of waste from fish harvesting
fish harvesting waste handling
handle fish harvesting waste
fish harvesting waste disposing
handling fish harvesting waste
dispose of fish harvesting waste","Dispose of waste, blood and inferior quality fish according to site waste management procedures.",,
http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,key_19435,,,skill/competence,cross-sector,develop energy saving concepts,"developing concepts for energy saving
developing energy saving concepts
develop energy saving concepts
develop concepts for energy saving
create concepts for energy saving
creating energy saving concepts
energy saving concepts creating
create energy saving concepts
creating concepts for energy saving
energy saving concepts developing","Use current research results and collaborate with experts to optimise or develop concepts, equipment, and production processes which require a lesser amount of energy such as new insulation practices and materials.",,
http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,key_19436,,,skill/competence,sector-specific,perform street interventions in social work,"perform street interventions in social work
do street interventions in social work
perform street-intervention in social work
perform street intervention in social-work
perform street-intervention in social-work
conduct outreach activites
carry out street interventions in social work","Conduct outreach activities by providing direct information or counselling services to individuals in their neighbourhood or in the streets, usually targeted at youth or homeless people.",,
http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,key_19437,,,skill/competence,sector-specific,work with soloists,"collaborate with soloists
working with soloists
work with a soloist
work with soloists
communicate with solo artists",Communicate with solo artists and concert masters to discuss and prepare for performances.,,
http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,key_19438,,,knowledge,cross-sector,sport and exercise medicine,"sports injury treatment
sport and exercise medicine
sports medicine
exercise and sports medicine
sports injury medicine
sports and exercise medicine",Prevention and treatement of injuries or conditions resulted from a physical activity or sport.,,
http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,key_19439,,,skill/competence,sector-specific,conduct research on flora,"carry out research on flora
flora research
conduct research on flora
perform research on flora
run research on flora
research on flora","Collect and analyse data about plants in order to discover their basic aspects such as origin, anatomy, and function.",,
http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,key_19440,,,skill/competence,cross-sector,install heat pump,"install heat pump
installation of heat pumps
commission heat pumps
heat pump commissioning
installing heat pump
commissioning of heat pump
commission heat pump
heat pump installation
commissioning heat pump
commissioning heat pumps
installing heat pumps
installation of heat pump
commissioning of heat pumps
install heat pumps
heat pump installing","Install heat pumps, which use the physical properties of substances called refrigerants to extract heat from an environment and release it to a warmer environment, counter to spontaneous heat flow. Create the necessary openings and install the indoors and outdoors parts of the heat pump. Connect electricity and any ducts, and configure the heat pump.",,
http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,key_19441,,,skill/competence,sector-specific,design biomass installations,"design biomass installation
design biomass system","Design the biomass energy system. Determine construction boundaries such as needed space and weight. Calculate indicators such as capacity, flow, and temperatures. Make detailed descriptions and drawings of the design.",,
http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,key_19442,,,skill/competence,occupation-specific,handle equipment while suspended,"using climbing equipment
equipment handling while suspended
handling of equipment while suspended
use climbing equipment while on a rope
use climbing equipment
using climbing equipment while on a rope
handling equipment while suspended
handle equipment while suspended","Safely operate hand equipment while suspended on a rope. Take on a secure and stable position before starting the operation. After finishing, store the equipment safely, usually by attaching it to a belt buckle.",,
http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,key_19443,,,skill/competence,cross-sector,teach housekeeping skills,"teach housekeeping skills
teach house-keeping skills
teach house keeping skills
teach domestic science skills
teach skills for housekeeping
instruct on housekeeping skills
train on housekeeping skills
teach housekeeping skill",Teach housekeeping as well as manual skills aiming to improve everyday tasks and life circumstances.,,
http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,key_19444,,,skill/competence,sector-specific,check train engines,"check train engines
check engines on trains meet regulations
check locomotive engines
check engines on locomotives
ensure train engines comply with regulations
ensure compliance of train engines with regulations
perform train engine compliance activities
check engines of trains
ensure train engines meet regulatory requirements
check train engines meet regulations
check engines on trains
ensure train engines comply with applicable regulations",Ensure that train engines comply with regulations before commencing a journey.,,
http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,key_19445,,,skill/competence,cross-sector,influence public policies,lobbying for public policies,Communicate with policymakers and provide them with data to convince them to change legislation or allocate funds to a specific cause.,,
http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,key_19446,,,knowledge,sector-specific,enterprise risk management,ERM,"A plan-based business strategy that aims to identify, assess, and prepare for any dangers, hazards, and other potentials for disaster, both physical and figurative, that may interfere with an organization's operations and objectives. ",,
http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,key_19447,,,skill/competence,sector-specific,manufacture ingredients,"manufacture ingredients
ingredients manufacture
assemble ingredients
manufacture of ingredients
produce ingredients
construct ingredients
manufacture of an ingredient
fabricate ingredients","Manufacture ingredients such as spices, additives and vegetables.",,
http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,key_19448,,,skill/competence,occupation-specific,maintain aquaculture ponds,"aquaculture pond maintaining
maintaining aquaculture ponds
cleaning aquaculture ponds
aquaculture pond cleaning
aquaculture ponds maintaining
pond maintaining in aquaculture
clean aquaculture ponds
maintain aquaculture ponds
aquaculture ponds cleaning
pond cleaning in aquaculture","Clean equipment and treatment tools. Drain and clean aquaculture ponds using brushes, chemicals, and water. Prepare holding containers for fish and change the nets. Conduct swimthroughs. Stock fish in holding units. Collect dead fish in holding units.",,
http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,key_19449,,,skill/competence,cross-sector,apply credit risk policy,"administer credit risk policy
implement credit risk policy
employ credit risk policy
applying credit risk policy
apply a credit risk policy
apply credit risk policy
utilise credit risk policy
credit risk policy application",Implement company policies and procedures in the credit risk management process. Permanently keep company's credit risk at a manageable level and take measures to avoid credit failure.,,
http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,key_19450,,,skill/competence,occupation-specific,handle customer requests related to cargo,"respond to customer freight requests
deal with customer requests related to cargo
handle customer requests related to cargo
respond to customer cargo requests
handle requests of customers related to cargo
address requests made by customers in relation to cargo
address customer requests in relation to shipments
handle customer requests related to freight
deal with requests of customers related to cargo
deal with customer requests related to freight
respond to customer requests in relation to cargo
handle requests of customers related to freight","Handle requests of port users and customers in the field of containers, shipping arrangements or cargo.",,
http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,key_19451,,,skill/competence,cross-sector,draft scientific or academic papers and technical documentation,,"Draft and edit scientific, academic or technical texts on different subjects.",,
http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,key_19452,,,knowledge,sector-specific,Incremental development,Incremental development,The incremental development model is a methodology to design software systems and applications.,,
http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203,key_19453,,,knowledge,occupation-specific,use of special equipment for daily activities,use of special equipment for daily activities,"The types of special equipment, prosthetics and orthotics used to aid with performing daily activities, such as wheelchairs.",,
http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,key_19454,,,knowledge,sector-specific,sawing techniques,"sawing technologies
sawing methods
sawing technique
sawing procedures
sawing tech
sawing techniques",Various sawing techniques for using manual as well as electric saws.,,
http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,key_19455,,,skill/competence,sector-specific,produce guitar components,"build guitar components
make guitar components
producing guitar components
construct guitar components
produce a guitar component
produce guitar components
erect guitar components","Choose the appropriate tonewood, materials and tools, and build the different guitar components such as the sound board, fretboard, headstock, neck and bridge.",,
http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,key_19456,,,skill/competence,sector-specific,operate agricultural machinery,"farm machinery operating
operating motorised agricultural machinery
operating agricultural machinery
operate farm machinery
operating farm machinery
motorised agricultural machinery operating
agricultural machinery operating
operating motorised farm machinery
motorised farm machinery operating
operate agricultural machinery
operate motorised agricultural machinery","Operate motorised agricultural equipment including tractors, balers, sprayers, ploughs, mowers, combines, earthmoving equipment, trucks, and irrigation equipment.",,
http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,key_19457,,,skill/competence,occupation-specific,control pyrotechnics stock,"controlling pyrotechnics stock
pyrotechnics stock controlling
manage pyrotechnics stock
control pyrotechnics stock
pyrotechnics stock managing
control stock of pyrotechnics
managing pyrotechnics stock",Check the expiration period of the stock in order to remove the already expired pyrotechnics. Place them into special metal containers for further processing.,,
http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,key_19458,,,skill/competence,sector-specific,guarantee customer satisfaction,"to guarantee customer satisfaction
ensure customer satisfaction
provide customer satisfaction
customer satisfaction guarantee
guaranteeing customer satisfaction
guarantee customer satisfaction
promise customer satisfaction
assure customer satisfaction","Handle customer expectations in a professional manner, anticipating and addressing their needs and desires. Provide flexible customer service to ensure customer satisfaction and loyalty.",,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,key_19459,,,skill/competence,sector-specific,manufacture wearing apparel products,"manufacture wearing apparel products
assemble wearing apparel components
manufacture clothing
manufacture clothing products
manufacture garments
assemble garment components
assemble clothing components
manufacture wearing apparel","Manufacture either mass-product or bespoke wearing apparels of various types, assembling and joining together wearing apparel components using processes such as sewing, gluing, bonding. Assemble wearing apparel components using stitches, seams such as collars, sleeves, top fronts, top backs, pockets.",,
http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,key_19460,,,skill/competence,sector-specific,cure tobacco leaves,"cure a tobacco leaf
temper tobacco leaves
dry tobacco leaves
preserve tobacco leaves
smoke tobacco leaves
cure tobacco leaves
curing tobacco leaves","Remove the moisture out of the tobacco leaves directly after harvesting them through various processes such as air curing, flue curing or sun curing.",,
http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,key_19461,,,skill/competence,cross-sector,develop a rehabilitation programme,"design a rehabilitation programme
compile a rehabilitation plan
develop a rehabilitation program
set up rehabilitation plan
develop rehabilitation programmes
develop rehabilitation programs",Develop a rehabilitation programme to help patients rebuild their skills and restore their confidence.,,
http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a,key_19462,,,skill/competence,sector-specific,maintain inventory of cleaning supplies,"track  inventory of cleaning supplies
manage inventory of cleaning supplies
maintain inventory of cleaning supplies
maintaining inventory of cleaning supplies
maintain inventory of supplies for cleaning
maintain inventory of cleaning supply","Follow the stock of cleaning materials, order new material when the stock is empty and follow their usage to maintain a constant supply.",,
http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d,key_19463,,,knowledge,occupation-specific,cold vulcanisation,"using vulcanising solution
tyre repair method
cold vulcanization
use of vulcanising solution
tyre repair technique","Technique used to repair defective tyres, especially bicycle tyres, and consisting in grinding the area around the tear, applying a vulcanising solution and fixing a patch to seal the tear.",,
http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,key_19464,,,skill/competence,sector-specific,supervise housekeeping operations,"oversee housekeeping operations
supervise operations of housekeeping
supervise housekeepers' duties
coordinate housekeeping duties
supervise housekeeping operations",Oversee the day-to-day service and cleaning of rooms and public areas to ensure continuous operations.,,
http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,key_19465,,,skill/competence,cross-sector,act as contact person during equipment incident,"play the role of contact person during equipment damage
act as contact person during equipment incident
be the contact person during equipment incident
play the role of a contact person during investigation
engage as a contact person during investigation
take responsibility as a contact person during incident
be the contact person during investigation",Act as the person to be contacted when an equipment incident occurs. Participate in the investigation by providing insights.,,
http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,key_19466,,,skill/competence,sector-specific,manage time in landscaping,"landscaping time managing
manage time in landscaping
landscaping scheduling
schedule landscaping
managing time in landscaping
scheduling landscaping
time managing in landscaping","Plan and implement work schedules to fit in landscaping activities, which include the briefing phase where the landscape project is discussed with a client after which follow a series of sketches, plans and designs.",,
http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf,key_19467,,,skill/competence,sector-specific,advise on customs regulations,advise customers,"Give information to people regarding import and export restrictions, tariff systems and other custom-related topics.",,
http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,key_19468,,,skill/competence,occupation-specific,manage university department,"manage university departments
managing university department
supervise university department
oversee university department
manage university department
coordinate university department
manages university department","Supervise and assess the university support practices, students' well-being, and teachers' performance.",,
http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,key_19469,,,skill/competence,sector-specific,develop terminology databases,"define terminology databases prepare terminology databases
write terminology databases
compile terminology databases
developing terminology databases
develop terminology databases
developing terminology database
draw up terminology databases
populate terminology databases
develop terminology database",Collect and submit terms after verifying their legitimacy in order to build up terminology databases on an array of domains.,,
http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e,key_19470,,,skill/competence,sector-specific,assess nutritional characteristics of food,"judge nutritional characteristics of food
determine nutritional characteristics of food
assess the nutritional characteristics of food
check nutritional characteristics of food
assess nutritional characteristics of food
appraise nutritional characteristics of food","Evaluate the nutritional value of food, including proportion of fats, carbohydrates, sugars, vitamins, in order to contribute to a better healthy diet. ",,
http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,key_19471,,,skill/competence,occupation-specific,repair electric bicycles,"repair electric bicycle
repair electric bicycles
repair electric bikes
fix electric bikes
repairing electric bicycles
fix electric bicycles
repair bicycles","Inspect the functioning of the electrical components, wiring, and fuses. Check for damage and malfunctions and determine the cause. Dismantle and repair bicycle components, such as add-on drives, switching systems, power supply systems and lightning systems. Adjust mechanical and electronic switchgear, drives, brake systems and chassis components. Check the bicycle's operating fluids and see if it needs refills or changes.",,
http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,key_19472,,,skill/competence,sector-specific,maintain sorting equipment,"maintain sorting equipment
maintaining sorting equipment
sorting equipment maintaining
maintaining of sorting equipment
sorting equipment repairing
repair sorting equipment
repairing sorting equipment",Perform routine maintenance as well as minor repairs on the equipment used for sorting waste and recyclable materials.,,
http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443,key_19473,,,skill/competence,sector-specific,explain features in accommodation venue,"explain accommodation venue features
explain accommodation features at venue
explain features in guest room
brief guests on room facilities
explain features in accommodation venue",Clarify guests' accommodation facilities and demonstrate and show how to use them.,,
http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73,key_19474,,,knowledge,sector-specific,types of barley,"type of barley
a type of barley
barley types
types of barley
kinds of barley
strains of barley
varieties of barley
categories of barley","The different types of barley; their characteristics, and quality.",,
http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,key_19475,,,knowledge,sector-specific,KDevelop,"KDevelop 4.7.0
KDevelop 4.6.0
KDevelop 4.0.0
KDevelop
KDevelop 5.0.0","The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE.",,
http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,key_19476,,,skill/competence,sector-specific,purchase vehicle parts,"oversee parts purchasing
carry out part purchasing
carry out parts purchases
carry out parts purchasing
carrying out parts purchasing
make parts purchasing
undertake parts purchasing
complete parts purchasing",Order specific parts required for maintenance and repair of a wide variety of vehicles.,,
http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,key_19477,,,skill/competence,cross-sector,inspect offshore constructions,"inspect offshore constructions
evaluate offshore constructions
inspect offshore construction
inspeting offshore constructions
examine offshore constructions
check offshore constructions
assess offshore constructions",Conduct regular inspections during and after the construction of offshore facilities such as oil platforms to ensure risk minimisation and compliance with regulations.,,
http://data.europa.eu/esco/skill/01468114-b99c-4f48-9374-a520a7faa9c9,key_19478,,,skill/competence,sector-specific,transport patient to medical facility,"transport patient to medical facility
assist in patient transportation
transfer patients to medical facilities
transport patients to medical facilities
transfer patient to medical facility
transport a patient to a medical facility","Assist in lifting and carrying of the patient into the emergency vehicle for transport, and into the receiving medical facility on arrival.",,
http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136,key_19479,,,skill/competence,occupation-specific,adjust envelope cutting settings,"tweak envelope cutting settings
adjusting envelope cutting settings
change envelope cutting settings
adjust envelope cutting setting
adapt envelope cutting settings
modify envelope cutting settings
adjust envelope cutting settings","Make sure that the right window cutting and patching standard are used. Prepare this by gumming on the blank with a dry patch and on the window material during its conveyance. Adjust on the basis of window, gum, and patch position and level of evenness.",,
http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,key_19480,,,skill/competence,sector-specific,prepare oils,"arrange oils
assemble oil
prepare oil
prepare, select and mix oil
assemble oils
prepare oils
arrange oil","Select the appropriate oils for the client, mix and blend them in order to create individualised compounds with specific needs and ratios for clients, keeping records of applied treatments and the blends used during the therapy.",,
http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,key_19481,,,skill/competence,sector-specific,purchase supplies,"pay for  supplies
acquire  supplies
gain  supplies
purchase of supplies
supplies purchasing
buy  supplies
purchase supplies
purchasing supplies",Purchase and replenish supplies; make sure that all required goods are available in stock.,,
http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a,key_19482,,,skill/competence,sector-specific,pursue excellence in the creation of food products,"look for excellence in the creation of food products
pursuing excellence in the creation of food products
aim for excellence in the creation of food products
pursue excellence in the creation of food products
seek excellence in the creation of food products
pursue excellence in the creation of a food product",Try to develop food products in their most qualitative form possible.,,
http://data.europa.eu/esco/skill/0162b701-6bb4-400a-b557-7996053d7daf,key_19483,,,skill/competence,sector-specific,maintain personal hygiene standards when cleaning,"maintain personal hygiene standards when cleaning
maintaining personal hygiene standards when cleaning
keep up personal hygiene standards when cleaning
maintain personal hygiene standard when cleaning
maintain personal hygiene when cleaning
sustain  personal hygiene standards when cleaning","Make sure to keep yourself clean and tidy and wear protective equipment when performing cleaning activities, as required by the health and safety procedures of the task or the organisation.",,
http://data.europa.eu/esco/skill/0167ee96-f478-4383-afe6-aabf387da5b3,key_19484,,,skill/competence,cross-sector,liaise with typists,"cooperate with typists
liaising with typists
liaise with typists
work together with typists
collaborate with typists
liaise with typist","Give instructions to typists about the addressees, the appropriate format, the number of copies required, etc. for them to type the final documents.",,
http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2,key_19485,,,skill/competence,sector-specific,assess railway operations,"appraise railway operations
assess railway operations
evaluate railway operations
conduct review of railway performance
conduct analysis of railway operations
analyse railway operations
conduct evaluation of railway performance
conduct study on railway operations and performance
review railway operations","Review and study existing railroad equipment, facilities, systems and processes in order to improve railway safety and efficiency, increase quality, and reduce costs.",,
http://data.europa.eu/esco/skill/016e7bf4-fe86-4a1f-ace1-54e5b697293d,key_19486,,,skill/competence,occupation-specific,practise extreme sports,"participate in extreme sports
practice  extreme sports
play extreme sports
practise extreme sport
practising extreme sports
engage in extreme sports","Practise action sports considered to have a high level of inherent danger and involving speed, height, a high level of physical exertion, and highly specialized gear.",,
http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,key_19487,,,skill/competence,transversal,adopt ways to foster biodiversity and animal welfare,"implement environmental choices in your own eating habit
adopt a sustainable eating habit
promoting organic and biological food consumption
take animal welfare into account when buying food products
concretely support biodiversity and animal welfare
take sustainability issues into account in consumption choices","Engage in behaviours that help maintaining stable ecosystems and combatting mass extinction, for example by making conscious dietary choices that support organic food production and animal welfare. ",,
http://data.europa.eu/esco/skill/0174a9e6-bf12-4ac3-bfc3-0a5469410f18,key_19488,,,skill/competence,occupation-specific,provide chaperone for children on set,"offer chaperone for children on set
organise chaperone for children on set
arrange chaperone for children on set
provide chaperone for child on set
providing chaperone for children on set
provide chaperone for children on set
provide chaperone for children on sets",Make sure there is always a chaperone present on the set when recruiting underage children to perform in a motion picture.,,
http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5,key_19489,,,skill/competence,cross-sector,organise labour,"organize labor
labour organising
workers organising
worker organising
organise workers
organising workers
organising labour","Organise, allocate and coordinate members of the team. Organise production programmes and plan the production and sales. Purchase materials and equipment. Manage stocks.",,
http://data.europa.eu/esco/skill/017738e7-7d12-4e87-a580-8523405bab96,key_19490,,,skill/competence,sector-specific,use glass engraving tools,"using glass engraving tools
glass engraving with tools
glass engraving tools using
use glass engraving tools
work with glass engraving tools
working with glass engraving tools
use engraving tools on glass","Use engraving tools which use steel, stone or copper wheels according to the kind of glass or glassware.",,
http://data.europa.eu/esco/skill/017d3b78-ebfa-431d-acc5-8050e9b0fdc8,key_19491,,,skill/competence,sector-specific,operate wrecking ball,"demolish structure with wrecking ball
operating wrecking ball
wrecking ball control
wrecking ball operation
operation of wrecking ball
control wrecking ball
operate wrecking ball
demolition with wrecking ball",Use a wrecking ball to demolish a structure or parts of it. Hoist the wrecking ball into the air with a crane. Drop the ball or swing it in a controlled manner to hit the structure. Prevent misses as the weight and momentum of the ball may destabilise the crane.,,
http://data.europa.eu/esco/skill/018164df-2814-4926-bdf7-398d86b9dfe6,key_19492,,,skill/competence,cross-sector,evaluate garment quality,"evaluate quality of garments
evaluate wearing apparel quality
estimate clothing quality
inspect clothing quality
estimate garment quality
estimate wearing apparel quality
evaluate garment quality
inspect garment quality
evaluate quality of clothing
evaluate quality of wearing apparel
evaluate clothing quality","Evaluating stitching, construction, attachments, fasteners, embellishments, shading within the garment; evaluating pattern continuity-, matching; evaluating tapes and linings.",,
http://data.europa.eu/esco/skill/01819474-b960-4b8f-b020-2da26518d43a,key_19493,,,skill/competence,occupation-specific,apply for refunds,"apply for a refund
implement refunds
make refunds
refund applications
undertake refunds
apply for refunds
administer refunds
applying  for a refund","Make inquiries at the supplier in order to return, exchange or refund goods.",,
http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,key_19494,,,skill/competence,sector-specific,perform a feasibility study for building management systems,carry out bms feasibility study,"Perform the evaluation and assessment of the potential of a building management system. Realise a standardised study to determine the energy saving contribution, costs and restrictions, and conduct research to support the process of decision making.",,
