"ORIGINURI","ID","UUIDHISTORY","OCCUPATIONGROUPCODE","CODE","PREFERREDLABEL","ALTLABELS","DESCRIPTION","DEFINITION","SCOPENOTE","REGULATEDPROFESSIONNOTE","OCCUPATIONTYPE","ISLOCALIZED"
"http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883","key_20432","a40a477f-a81e-4b24-8bbd-2feb886ae329","8160","8160.39","hydrogenation machine operator","hydrogenation machine operative
hydrogenation machine operator
hydrogenator
hydrogenation operator
hydrogenation process operator"," Hydrogenation machine operators control equipment to process base oils for manufacture of margarine and shortening products. 
","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8","key_20433","82941acd-a80d-4f33-95c2-ec660e7a27bf","8160","8160.46","pasta operator","pasta manufacturer
pasta production operator
pasta maker
pasta operator","Pasta operators manufacture dry pasta products. They unload raw ingredients from storage silos and ingredient delivery systems. These operators mix, press, extrude as to reach desired drying levels of pasta.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9","key_20434","3c4d37d5-2887-430d-8e8c-08f7f147a03b","1420","1420.4.42","tobacco shop manager","smokers products shop manager
tobacconists shop manager
cigar and cigarette store manager
tobacco store manager
tobacco shop manager
cigarette shop manager
cigar shop manager
cigarette store manager
cigar and cigarette shop manager
purveyor of tobacco and tobacco products
tobacconist store manager
cigar store manager
tobacconists store manager
pipe smokers shop manager
tobacconist shop manager","Tobacco shop managers assume responsibility for activities and staff in specialised shops.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1","key_20435","039a9f04-9a2d-4a15-8673-eb53677f9861","5249","5249.2.1","rental service representative in other machinery, equipment and tangible goods","rental sales desk clerk in other machinery, equipment and tangible goods
rental sales worker in other machinery, equipment and tangible goods
rental service manager in other machinery, equipment and tangible goods
rental service assistant in other machinery, equipment and tangible goods
rental sales desk supervisor in other machinery, equipment and tangible goods
rental sales manager in other machinery, equipment and tangible goods
rental service desk clerk in other machinery, equipment and tangible goods
rental service supervisor in other machinery, equipment and tangible goods
rental service team leader in other machinery, equipment and tangible goods
rental service desk agent in other machinery, equipment and tangible goods
rental sales desk agent in other machinery, equipment and tangible goods
rental service desk supervisor in other machinery, equipment and tangible goods
rental sales team leader in other machinery, equipment and tangible goods
rental advisor in other machinery, equipment and tangible goods
rental specialist in other machinery, equipment and tangible goods
rental service worker in other machinery, equipment and tangible goods
rental service representative in other machinery, equipment and tangible goods
rental sales supervisor in other machinery, equipment and tangible goods
rental sales assistant in other machinery, equipment and tangible goods","Rental service representatives in other machinery, equipment and tangible goods are in charge of renting out equipment and determining specific periods of usage. They document transactions, insurances and payments.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8","key_20436","7b1114d1-7b8e-41e4-9261-8c2244babe59","2165","2165.4.2","mine surveyor","mining surveyor
mine operations surveyor
mine plan maker
mine records keeper
mine surveyor
mine surveyors
planner of mining operations
mine planning surveyor","Mine surveyors prepare and maintain mining plans in line with statutory and management requirements. They keep records of the physical progress of mining operations and of ore or mineral production.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd","key_20437","695948ec-d77a-4bb2-baa9-25f664975e4e","2263","2263.2","food safety specialist","food production quality controller
trainee food safety specialist
food safety controller
senior food safety specialist
food scientist
food safety monitor
food safety advisor
food safety technician
food compliance manager (food safety)
assistant food safety specialist
HACCP compliance manager
food safety specialist
food safety consultant
technical manager for food safety
food hygiene specialist
food quality controller","Food safety specialists organise processes and implement procedures to avoid problems with food safety. They comply with regulations.
","","Includes people performing activities at the point of sale.","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811","key_20438","4add4063-33bf-456e-8722-9232eee77157","7233","7233.8","land-based machinery technician","land-based machinery technician
land-based machinery mechanic
land-based machinery technicians
landbased machinery technician","Land-based machinery technicians maintain, overhaul and repair agricultural equipment and machinery.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58","key_20439","759d7efd-cbb7-4fc3-b01e-5a10f33abce0","8331","8331.1","bus driver","intercity bus driver
private bus operator
transit bus driver
bus driver
public service vehicle operator
passenger driver
international bus driver
public bus operator
touristic bus driver
coach driver
private coach driver
public bus driver
bus operator
driver of bus
bus driving operator
schoolbus driver","Bus drivers operate buses or coaches, take fares, and look after passengers.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e","key_20440","c6e78b58-1756-41d7-9682-449d034e0095","1324","1324.3.2.22","import export manager in meat and meat products","graduate export manager in meat and meat products
senior export manager in meat and meat products
international trade compliance manager in meat and meat products
international trade manager in meat and meat products
senior import manager in meat and meat products
import export manager in meat and meat products
assistant export manager in meat and meat products
trainee import manager in meat and meat products
graduate import manager in meat and meat products
graduate import export manager in meat and meat products
assistant import export manager in meat and meat products
assistant import manager in meat and meat products
senior import export manager in meat and meat products
customs compliance manager in meat and meat products
trainee export manager in meat and meat products
trainee import export manager in meat and meat products","Import export managers in meat and meat products install and maintain procedures for cross-border business, coordinating internal and external parties.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9","key_20441","93a0094d-60ef-4b82-adf2-83dda37a14dd","2422","2422.12.8","housing policy officer","housing policy officer
housing policy development officer
housing policy analyst
policy officer
housing policy researcher
affordable housing policy officer
policy officer, planning and housing
housing policy and strategy officer
senior housing policy officer
housing policy advisor","Housing policy officers research, analyse and develop housing policies which enable affordable and adequate housing for all. They implement these policies to improve the housing situation of the population by measures such as building affordable housing, supporting people to buy real estate and improving conditions in existing housing. Housing policy officers work closely with partners, external organisations or other stakeholders and provide them with regular updates.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0","key_20442","8cbf23a4-62cc-4f7c-9bcd-e9feadb09657","3434","3434.1.1","head chef","head chef
industrial head chef
chef de cuisine
kitchen manager
executive chef
managing partner head chef
head of kitchen
master Chef
sous chef
master kitchen manager
patron cuisinier
master chef","Head chefs manage the kitchen to oversee the preparation, cooking and service of food.","","Includes <a resource=""http://data.europa.eu/esco/occupation/1009be17-7efd-45f1-a033-566bf179c588"" typeOf=""http://data.europa.eu/esco/model#Occupation"" href=""http://data.europa.eu/esco/occupation/1009be17-7efd-45f1-a033-566bf179c588""><span property=""http://www.w3.org/2000/01/rdf-schema#label"" xml:lang=""en"">chef</span></a>. 
Includes assistant head chef.","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc","key_20443","44eedcc9-1b02-4b0e-a9b4-a80579afc535","8131","8131.15","nonwoven filament machine operator","nonwoven filament machine operator
non-woven filament machine operator
non-woven yarn worker
non woven yarn worker
nonwoven filament machinist
nonwoven yarn worker
non woven filament machine operator","Nonwoven filament machine operators perform chemical nonwoven processing operations.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95","key_20444","0175a7ea-dc23-4e4e-b244-2d00b1bb91c2","1345","1345.1.5","head of higher education institutions","university chancellor
head of higher education institutions
rector of higher education
rector for higher education institutions","Heads of higher education institutions manage the day-to-day activities of a higher education institution, such as a college or vocational school. Heads of higher education institutions make decisions concerning admissions and are responsible for meeting curriculum standards, which facilitate academic development for the students. They manage staff, the school's budget, campus programmes and oversee the communication between departments. They also ensure the institution meets the national education requirements set by law.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f","key_20445","c97b38ac-18bb-4c1d-a3e0-19dfda821563","3123","3123.1.13","insulation supervisor","supervisor of installation of insulating materials
supervisor of insulation materials installation
insulation supervisor
supervisor of installation of insulation
solid wall insulation installation supervisor
insulation installers supervisor
cavity wall insulation installation supervisor
loft insulation installation supervisor","Insulation supervisors monitor insulation operations. They assign tasks and take quick decisions to resolve problems.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4","key_20446","ef9b0fb4-bd46-4bb7-8dc7-552a306b489b","2149","2149.8","dismantling engineer","disassembly planner
dismantling manager
dismantling planner
dismantling engineer","Dismantling engineers research and plan the optimal way to dismantle industrial equipment, machinery and buildings that reached the end-of-life phase. They analyse the required work and schedule the various operations. They give team leaders instructions and supervise their work. 
","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5","key_20447","1c15e8f6-56bd-4d7d-9dc4-511f5581bebb","3315","3315.3","insurance claims handler","claims handler
contract claims examiner
claims consultant
claims representative
property and casualty insurance claims examiner
claims inspector
insurance claims handler
claims service supervisor
insurance claims consultant
claims examiner
claims processor
insurance claims officer
casualty insurance adjuster
claims adjuster
insurance claims analyst
travelling insurance assessor
insurance claims processor
claims analyst
insurance claims assessor
insurance claims examiner
civil damages inspector
insurance claims inspector","Insurance claims handlers ensure that all insurance claims are handled accurately and that payment for valid claims is made to the policyholders. They use statistical data and reporting to calculate and adjust claims as needed, communicate with and guide policyholders and monitor the progress of a claim.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117","key_20448","e8b5d9e1-ccf6-48e6-86e5-4ca5bacf8c6c","1223","1223.2.1.1","clothing development manager","clothing manager
sample room manager
clothing product manager
apparel product developer
clothing development manager
clothes product developer","Clothing development managers define product concepts that are consistent with target consumers and overall marketing strategy. They receive scientific findings and specifications in order to lead the briefing and implementation of all relevant seasonal and strategic concepts, including distribution by channel, product, colour introductions, and merchandised assortments. They ensure realisation and execution within budget. They manage and execute the product line and category life cycle from concept determination through sales and distribution, contribution in market research and industry trends to influence category concepts and products.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90","key_20449","8ab141eb-2d7c-4c6b-aec4-42f8683b0818","8131","8131.14","nitroglycerin separator operator","nitro-separator operator
nitroglycerin separator tender
nitroglycerin separator operative
gravity separator operator
nitroglycerin-separator tender
chemical equipment operative
nitroglycerin- separator operative
nitroglycerin-separator worker
nitro-separator operative
nitroglycerin separator operator
nitroglycerin gravity separator
chemical equipment worker
nitroglycerin-separator operator
nitroglycerin separator worker
chemical equipment operator","Nitroglycerin separator operators maintain the gravity separator, used in explosives processing, controlling the temperature and liquid flow, in order to separate nitroglycerin from spent acids.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d","key_20450","2b830637-fa38-49b4-98a7-c976588b1cd2","2149","2149.5.1","biomedical engineer","biomedical engineer
BME consultant
bio-medical engineer
biomedical engineering adviser
biomedical technology engineering expert
BME adviser
biomedical engineering expert
BME expert
biomedical engineering consultant
biomedical technology engineering specialist
biomedical technology engineer
biomedical engineering specialist
biomedical technology engineering adviser
BME specialist
biomedical technology engineering consultant","Biomedical engineers combine knowledge of engineering principles and biological findings for the development of medical treatments, medicaments, and general healthcare purposes. They can develop solutions ranging from the improvement of the components in conventional medicaments up to implants developments, and tissue treatment.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860","key_20451","3a6282a1-b959-4550-9387-935bcf12ef96","3412","3412.2","legal guardian","court-appointed guardian
legal guardian
welfare guardian
youth legal guardian
conservator
intervenor
foster parent
department of work and pensions appointee
financial guardian
legal parent","Legal guardians legally assist and support minor children, mentally disabled persons or incapacitated older adults in their personal life. They can manage their property, help with daily financial administration and assist with the ward's medical or social needs.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3","key_20452","231fde56-0af4-4753-9c30-bc1e70590ef0","7318","7318.6","weaver","needle loom operator
weaving forewoman
fabric weaver
manufacturing weaver
textile weaver
weaving machine operator
cloth weaver
weaver
loom operator
weaving foreman
weaving machinist
weaving inspector
needle loom weaver","Weavers operate the weaving process at traditional hand powered weaving machines (from silk to carpet, from flat to Jacquard). They monitor the condition of machines and the fabric quality, such as woven fabrics for clothing, home-tex or technical end uses. They carry out  mechanic works on machines that convert yarns into fabrics such as blankets, carpets, towels and clothing material. They repair loom malfunctions as reported by the weaver, and complete loom check out sheets.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6","key_20453","476de747-5001-4e56-a880-16b267bd13de","7122","7122.4","tile fitter","wall tiler
floor tiler
surface tiler
tile setter
tilefitter
tile installer
tiling worker
marble setter
tiler
mosaic tiler
tilesetter
tile fitter","Tile fitters install tiles onto walls and floors. They cut tiles to the right size and shape, prepare the surface, and put the tiles in place flush and straight. Tile fitters may also take on creative and artistic projects, with some laying mosaics.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4","key_20454","c87873a5-823a-4f4d-a313-6239a5238b34","1420","1420.4.38","shoe and leather accessories shop manager","footwear store manager
cobblers store manager
shop manager (footwear and leather goods retail store)
leather accessories shop manager
shoe shop manager
shoe and leather accessories store manager
shoe store manager
shoe and leather accessories shop manager
leather accessories store manager
cobblers shop manager","Shoe and leather accessories shop managers assume responsibility for activities and staff in specialised shops.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/02609ece-cea3-43fa-bf38-b6fb821f28b2","key_20455","8ab0cf8a-ec04-4b50-a730-bc58b5cddce0","1439","1439.7","tour operator manager","package tour manager
package tour services manager
tour operators manager
package tour operator manager
tour operator manager","Tour operator managers are in charge of managing employees and of activities within tour operators related to the organisation of package tours and other tourism services.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa","key_20456","c0e2a9a0-7349-41c6-91ca-6e58ad8722c4","6123","6123.1","bee breeder","bees breeder
bee rearer
bee specialist
beekeeper
bee breeder","Bee breeders oversee the production and day-to-day care of bees. They maintain the health and welfare of bees.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/0264b794-3771-47aa-a675-78bf13b62ee7","key_20457","5842b5a5-e37f-426e-b477-ff2e48545c16","3342","3342.2","legal administrative assistant","paralegal assistant
certified legal assistant
litigation secretary
litigation legal assistant
legal executive secretary
certified legal secretary specialist
legal secretary
certified legal secretary
collection legal assistant
legal administrative assistant
legal administrative secretary","Legal administrative assistants carry out the daily administrative activities of firms, offices of notaries, and companies. They perform activities such as writing mails, phone-answering and typing/keyboarding. They combine these activities with specific knowledge and understanding of the procedures and codes managed in legal business affairs.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e","key_20458","46978cca-b5f5-40f9-a650-00162865db78","3134","3134.4","petroleum pump system operator","petroleum pump system operator","Petroleum pump system operators tend pumps that keep the circulation of oil and derived products running smoothly. They monitor the flow within the pipes at a refinery and test the equipment to ensure minimum disruptions. Pump systems operators work from a highly automated control room, where they communicate with other workers to coordinate pump activities. Pump system operators undertake minor repairs and maintenance, and report as called for.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3","key_20459","5189bb24-d75a-4669-ba25-359a6b6d65d7","8153","8153.1.5","protective clothing apparel manufacturer","protective gear manufacturer
manufacturer of protective equipment
manufacturer of safety clothing
protective clothes manufacturer
manufacturer of protective clothing
protective clothing apparel manufacturer","Protective clothing apparel manufacturers produce personal protective equipment (PPE) made of textiles. They produce wearing apparel resistant to different hazards, e.g. thermal, physical, electrical, biological, and chemical, etc., high visibility warming clothing, protective against cool, cold, rain, UV solar radiation, etc. They follow standards and assess the fulfilment of requirements.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/02b5b7b0-b856-4ac7-924c-8c35c7880b2a","key_20460","5ed4a75a-9a37-4d97-8bf3-e9f89ce6fde9","8122","8122.3","coating machine operator","coater operator
coater technician
coater
coating and embossing operator
coating machine operative
coater adjuster
coating machine technician
coating and baking operator
coating machine operator
coating and embossing unit operator
coater associate","Coating machine operators set up and tend coating machines that coat metal products with a thin layer of covering of materials such as lacquer, enamel, copper, nickel, zinc, cadmium, chromium or other metal layering in order to protect or decorate the metal products' surfaces. They run all coating machine stations on multiple coaters.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/02bd7cac-8263-4425-b03d-19001ffe8787","key_20461","a5d6587e-fab9-4d11-b1ac-366bff4847b6","6221","6221.3","aquaculture hatchery manager","manager of aquaculture hatchery
aquaculture hatchery supervisor
aquaculture hatchery manager
fish farm hatchery supervisor","Aquaculture hatchery managers plan, direct, and coordinate the production in large-scale aquaculture operations to breed fish and shellfish, developing aquaculture breeding strategies using various types of spawning techniques. They control the reproduction and the early life cycle stages of cultured species. They supervise incubation, early feeding and rearing techniques of the cultured species.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/02d4f153-8e43-444d-8bd4-8171d49eab12","key_20462","715dec08-7468-49d0-8d3f-8a7509fb85d7","7223","7223.8","gear machinist","mechanical gearing  machinist
mechatronic gear machinist
automotive gear machinist
electrical gearing machinist
auto machinist
mechatronic gearing machinist
automotive gearing machinist
gear change machinist
gear machinist
electrical gear machinist
mechanical gear machinist
auto change machinist
precision gear machinist
precision gearing machinist","Gear machinists make precision parts for gears and other driving elements. They use a variety of machine tools.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7","key_20463","e16f1819-16e4-47d6-a964-8d8d58e4ef42","1411","1411.3","rooms division manager","director of rooms
front desk manager
rooms and reservations manager
reservations manager
reception manager
front office manager
rooms division manager
rooms manager
head receptionist"," Rooms division managers are in charge of managing and coordinating a team of employees at front desk, reservations, housekeeping and maintenance departments. 
","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/02e94cd6-8e6d-4e9b-b695-edb460c70528","key_20464","ef171e84-f7e4-47d3-8761-cf79416a0722","7316","7316.1.1","ceramic painter","painter of ceramic articles
ceramic designer & painter
decorator of ceramics
ceramic painter & decorator
ceramic designer and painter
ceramic artist
ceramics painter
ceramic painter and decorator
ceramic painter
ceramic decorator","Ceramic painters design and create visual art on ceramic surfaces and objects such as tiles, sculptures, tableware and pottery. They use a variety of techniques to produce decorative illustrations ranging from stenciling to free-hand drawing.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
